Rank,Vehicle Name,Manufacturer,Vehicle Class,Price (GTA$),Top Speed (mph),Lap Time (Seconds),DLC / Release Update
1,Krieger,Benefactor,Super,"$2,875,000",127.25,0:59.27,Diamond Casino
2,Emerus,Progen,Super,"$2,750,000",127.25,0:58.29,Diamond Casino
3,Itali GTO,Grotti,Sports,"$1,965,000",127.75,0:59.72,Arena War
4,Buffalo EVX,Bravado,Muscle,"$2,140,000",124.5,1:03.46,San Andreas Mercs
5,Vagner,Dewbauchee,Super,"$1,535,000",126.75,0:59.19,Gunrunning
6,Pariah,Ocelot,Sports,"$1,420,000",136,1:00.63,Doomsday Heist
7,Hao's S95 (HSW),Karin,Sports,"$1,995,000",155.5,0:56.40,Next-Gen Update
8,Virtue,Ocelot,Super,"$2,980,000",119.25,1:02.32,Los Santos Drug Wars
9,Torero XO,Pegassi,Super,"$2,890,000",131,1:01.32,The Criminal Enterprises
10,Niobe,Ubermacht,Sports,"$1,880,000",125.25,1:01.50,Bottom Dollar Bounties
11,Batur,Enus,Super,"$3,200,000",128,1:00.80,2025 Winter Update
12,Vigero ZX,Declasse,Muscle,"$1,947,000",125,1:03.20,The Criminal Enterprises
13,GTO Stinger TT,Grotti,Sports,"$2,380,000",132,1:01.20,San Andreas Mercs
14,Omaggio,Grotti,Super,"$2,845,000",130.25,0:59.90,The Chop Shop
15,Calamity,Coil,Sports,"$2,450,000",135,1:00.10,2025 Mid-Year Update
16,T20,Progen,Super,"$2,200,000",122.25,1:01.28,Ill-Gotten Gains
17,Osiris,Pegassi,Super,"$1,950,000",122,1:01.39,Ill-Gotten Gains
18,Zentorno,Pegassi,Super,"$725,000",122,1:02.30,High Life Update
19,Adder,Truffade,Super,"$1,000,000",121.5,1:04.96,Base Game
20,Entity MT,Overflod,Super,"$2,355,000",131.25,1:03.19,Los Santos Drug Wars
21,Dominator GT,Vapid,Muscle,"$2,195,000",123,1:04.50,The Chop Shop
22,Jester RR,Dinka,Sports,"$1,970,000",125,1:02.50,LS Tuners
23,Calico GTF,Karin,Sports,"$1,995,000",121.25,1:03.59,LS Tuners
24,Corsita,Lampadati,Sports,"$1,795,000",131.3,1:02.10,The Criminal Enterprises
25,Draugur,Declasse,Off-Road,"$1,870,000",112,1:03.20,The Criminal Enterprises
26,Oppressor Mk II,Pegassi,Cycle,"$8,000,000",130,N/A,After Hours
27,Deluxo,Imponte,Sports,"$5,750,000",112.75,1:07.30,Doomsday Heist
28,Toreador,Pegassi,Sports,"$4,250,000",135.25,1:01.50,Cayo Perico Heist
29,Champion,Dewbauchee,Super,"$3,750,000",124.75,1:02.10,The Contract
30,Ignus,Pegassi,Super,"$2,765,000",124.75,1:00.20,The Contract
31,Revenant,Albany,Sedans,"$1,600,000",118,1:06.40,2025 Halloween
32,Thrax,Truffade,Super,"$2,325,000",124,1:00.60,Diamond Casino
33,Deveste Eight,Principe,Super,"$1,795,000",131.75,1:00.60,Arena War
34,Sultan RS Classic,Karin,Sports,"$1,789,000",117.25,1:03.30,LS Tuners
35,Comet S2,Pfister,Sports,"$1,878,000",123,1:03.20,LS Tuners
36,Cypher,Ubermacht,Sports,"$1,550,000",113.5,1:04.90,LS Tuners
37,Gauntlet Hellfire,Bravado,Muscle,"$745,000",125.25,1:06.50,Diamond Casino
38,Shotaro,Nagasaki,Motorcycle,"$2,225,000",123.75,0:59.10,Deadline Update
39,Hakuchou Drag,Shitzu,Motorcycle,"$976,000",126.5,0:57.50,Bikers Update
40,Bati 801,Pegassi,Motorcycle,"$15,000",135,0:58.60,Base Game
41,Akula,Buckingham,Helicopter,"$3,700,000",157.25,N/A,Doomsday Heist
42,Sparrow,Sea Sparrow,Helicopter,"$1,815,000",139,N/A,Cayo Perico Heist
43,Kosatka,RUR,Submarine,"$2,200,000",30,N/A,Cayo Perico Heist
44,Terrorbyte,Benefactor,Utility,"$1,375,000",87.25,N/A,After Hours
45,Avenger,Mammoth,Plane,"$3,450,000",178.5,N/A,Doomsday Heist
46,Raiju,Mammoth,Plane,"$6,850,000",232,N/A,San Andreas Mercs
47,B-11 Strikeforce,B-11,Plane,"$3,800,000",163.75,N/A,After Hours
48,Pyro,Buckingham,Plane,"$4,450,000",222.75,N/A,Smuggler's Run
49,Hydra,Mammoth,Plane,"$3,990,000",209.25,N/A,Heists Update
50,P-996 Lazer,JoBuilt,Plane,"$6,500,000",195,N/A,Base Game
